Claim_Name;Judul_Berita;Hoax_Class;Sumber;Tanggal;Subject;Tema_Artikel
Claim by Tersebar di media sosial:;Polisi Malaysia menangkap pendukung Prabowo sebagai pelaku tercoblosnya surat suara di Malaysia;Keliru;https://cekfakta.tempo.co/fakta/227/fakta-atau-hoaks-benarkah-polisi-malaysia-menangkap-pendukung-prabowo-sebagai-pelaku-tercoblosnya-surat-suara-di-malaysia;Apr 16, 2019;Prabowo Subianto;Surat suara
Claim by Berbagai sumber:;Laki-laki dan perempuan salat campur dalam kampanye Pilpres Prabowo;Salah;https://periksafakta.afp.com/bukan-hoaks-foto-menunjukkan-laki-laki-dan-perempuan-salat-campur-dalam-kampanye-pilpres-indonesia;Apr 9, 2019;Prabowo Subianto;Salat
Claim by Situs Kabar Today:;Sekretaris Jenderal PBB Pedro Coelho mengucapkan selamat kepada Prabowo Subianto karena menang Pilpres 2019.;Keliru;https://cekfakta.tempo.co/fakta/261/fakta-atau-hoaks-benarkah-sekjen-pbb-ucapkan-selamat-kepada-prabowo-yang-terpilih-sebagai-presiden;Apr 27, 2019;Prabowo Subianto;Sekretaris Jenderal Perserikatan Bangsa-Bangsa
Claim by Viral di sosial media:;Ternyata Pak Prabowo benar saat debat capres soal lemahnya kekuatan pertahanan RI.;Sesat;https://cekfakta.tempo.co/fakta/214/fakta-atau-hoaks-benarkah-kapal-patroli-indonesia-dikejar-tentara-malaysia;Apr 11, 2019;Indonesia;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di media sosial Facebook:;Tri Susanti, wanita yang mendatangi asrama mahasiswa Papua di Surabaya, adalah saksi Prabowo di sidang sengketa Pilpres 2019;Benar;https://cekfakta.tempo.co/fakta/381/fakta-atau-hoaks-benarkah-tri-susanti-yang-mendatangi-asrama-mahasiswa-papua-di-surabaya-adalah-saksi-prabowo-di-sidang-sengketa-pilpres-2019;Aug 28, 2019;Prabowo Subianto;Asrama Mahasiswa Papua
Claim by Sejumlah situs dan akun Facebook:;"""Ratusan Ribu Warga Tegal Hadiri Kampanye Akbar Prabowo Di Wisanggeni""";Keliru;https://cekfakta.tempo.co/fakta/204/fakta-atau-hoaks-benarkah-kampanye-prabowo-subianto-di-lapangan-gor-wisanggeni-kota-tegal-dihadiri-ratusan-ribu-orang;Apr 7, 2019;Prabowo Subianto;Tegal
Claim by Berbagai sumber:;Capres Prabowo Subianto bersumpah akan hapus polisi dan TNI bila terpilih;Salah;https://periksafakta.afp.com/tidak-klip-ini-tidak-menunjukkan-capres-prabowo-subianto-bersumpah-akan-hapus-polisi-dan-tni;Apr 9, 2019;Prabowo Subianto;Tentara Nasional Indonesia
Claim by Sejumlah akun di media sosial:;Presiden Turki Recep Tayyib Erdogan memberi dukungan kepada Prabowo-Sandi;Keliru;https://cekfakta.tempo.co/fakta/196/fakta-atau-hoaks-benarkah-presiden-turki-recep-tayyip-erdogan-telah-memberikan-dukungan-kepada-prabowo-sandi;Apr 2, 2019;Recep Tayyip Erdoğan;Prabowo Subianto
Claim by Petroxi Blogspot:;Menteri Koordinator Politik Hukum dan Keamanan memerintahkan tembak mati pendukung Prabowo yang tidak mengakui kemenangan Joko Widodo;Keliru;https://cekfakta.tempo.co/fakta/336/fakta-atau-hoaks-benarkah-menkopolhukam-wiranto-memerintahkan-penangkapan-dan-tembak-mati-bagi-pendukung-prabowo-yang-tidak-mengakui-kemenangan-jokowi;Jul 15, 2019;Prabowo Subianto;Joko Widodo
Claim by Berbagai sumber:;Menteri Pertahanan Prabowo Subianto membawahi BIN, TNI dan Polri;Sesat;https://periksafakta.afp.com/uu-mengatur-bin-polri-dan-tni-berada-di-bawah-presiden;Nov 7, 2019;Badan Intelijen Negara;Kepolisian Negara Republik Indonesia
Claim by Akun Facebook Jonru Ginting:;Pesawat yang ditumpangi Prabowo untuk kampanye dihalangi 3 jet tempur;Keliru;https://cekfakta.tempo.co/fakta/206/fakta-atau-hoaks-benarkah-pesawat-yang-ditumpangi-prabowo-untuk-kampanye-mendapat-hadangan-3-pesawat-tempur;Apr 8, 2019;Jonru;Prabowo Subianto
Claim by Sejumlah akun Facebook:;Ketua tim kuasa hukum Prabowo Subianto-Sandiaga Uno, Bambang Widjojanto, dihalangi masuk gedung MK dengan kawat berduri;Sesat;https://cekfakta.tempo.co/fakta/310/fakta-atau-hoaks-benarkah-bambang-widjojanto-sengaja-dihalangi-agar-tidak-bisa-masuk-gedung-mk-untuk-sidang-sengketa-pilpres-2019;Jun 19, 2019;Bambang Widjojanto;Mahkamah Konstitusi Republik Indonesia
Claim by Sejumlah akun di media sosial Facebook:;Ketua Komisi Pemilihan Umum Arief Budiman mengumumkan Prabowo-Sandiaga telah menguasai perolehan suara di seluruh provinsi Indonesia.;Keliru;https://cekfakta.tempo.co/fakta/276/fakta-atau-hoaks-benarkah-kpu-umumkan-semua-provinsi-dikuasai-prabowo;May 9, 2019;Prabowo Subianto;KPU
Claim by Akun Facebook Umi Jamilah:;Menurut data resmi TNI, pasangan calon 02 Prabowo-Sandiaga sudah menang Pilpres 2019.;Keliru;https://cekfakta.tempo.co/fakta/256/fakta-atau-hoaks-benarkah-data-resmi-tni-menunjukkan-kemenangan-prabowo-pada-pilpres-2019;Apr 24, 2019;Prabowo Subianto;Tentara Nasional Indonesia
Claim by Foto dan narasi di Facebook.:;Prabowo Subianto membebaskan 200 relawan dari peristiwa 21-22 Mei 2019 setelah berjabat tangan dengan Joko Widodo;Keliru;https://cekfakta.tempo.co/fakta/344/fakta-atau-hoaks-benarkah-foto-yang-diklaim-prabowo-berhasil-bebaskan-200-relawan-dari-penjara;Jul 22, 2019;Prabowo Subianto;Cek Fakta Tempo - TEMPO.co
Claim by Berbagai sumber:;Presiden Turki Erdogan mendukung kubu Prabowo-Sandi di Pilpres Indonesia;Salah;https://periksafakta.afp.com/bukan-ini-bukan-foto-presiden-turki-erdogan-mendukung-kubu-prabowo-sandi-di-pemilu-indonesia;Apr 5, 2019;Recep Tayyip Erdoğan;Prabowo Subianto
Claim by Viral di media sosial.:;Ustad Abdul Somad (UAS) Menerima Hadiah Rumah Setelah Bertemu Prabowo Subianto.;Keliru;https://cekfakta.tempo.co/fakta/229/fakta-atau-hoaks-benarkah-ustad-abdul-somad-uas-menerima-hadiah-rumah-setelah-bertemu-prabowo;Apr 16, 2019;Abdul Somad;Prabowo Subianto
Claim by Beredar di Facebook:;Menteri Pertahanan Prabowo Subianto dan Panglima TNI Hadi Tjahjanto akan menertibkan seragam ormas yang mirip dengan seragam TNI, termasuk seragam Banser NU;Keliru;https://cekfakta.tempo.co/fakta/466/fakta-atau-hoaks-benarkah-menhan-prabowo-dan-panglima-tni-akan-tertibkan-seragam-banser;Nov 8, 2019;Prabowo Subianto;Barisan Ansor Serbaguna Nahdlatul Ulama (Banser)
Claim by Beberapa sumber:;Profesor Jepang menyatakan Prabowo Subianto menang di Pilpres 2019;Satire;https://periksafakta.afp.com/tidak-foto-ini-tidak-menunjukkan-professor-jepang-mengklaim-prabowo-telah-menang-di-pilpres-2019;Jun 27, 2019;Prabowo Subianto;Pemilihan presiden
Claim by Beredar di Facebook:;Menteri Pertahanan Prabowo Subianto meminta kepada Menhan Cina untuk membebaskan muslim Uighur;Keliru;https://cekfakta.tempo.co/fakta/534/fakta-atau-hoaks-benarkah-prabowo-minta-menhan-cina-bebaskan-muslim-uighur;Dec 30, 2019;Prabowo Subianto;Tiongkok
Claim by Video dan narasi beredar di YouTube dan Facebook:;Saksi dari kubu Prabowo-Sandi dalam rapat pleno rekapitulasi suara tingkat kabupaten di Sampang dikatakan dikeroyok oleh oknum polisi karena protes adanya kecurangan.;Keliru;https://cekfakta.tempo.co/fakta/269/fakta-atau-hoaks-benarkah-saksi-kubu-prabowo-sandi-dikeroyok-polisi-karena-memprotes-kecurangan-saat-pleno-rekapitulasi-suara-di-kabupaten-sampang;May 5, 2019;Prabowo Subianto;Polisi
Claim by Kubu Prabowo Subianto-Sandiaga Uno:;1 juta orang hadiri kampanye akbar Prabowo-Sandi di GBK;Keliru;https://cekfakta.tempo.co/fakta/207/fakta-atau-hoaks-benarkah-gelora-bung-karno-bisa-menampung-1-juta-orang;Apr 10, 2019;Stadion Utama Gelora Bung Karno;Cek Fakta Tempo - TEMPO.co
Claim by Viral di Facebook:;Megawati Soekarnoputri mengakui kemenangan Prabowo Subianto dalam Pilpres 2019;Keliru;https://cekfakta.tempo.co/fakta/247/fakta-atau-hoaks-benarkah-megawati-telah-mengakui-kemenangan-prabowo;Apr 20, 2019;Megawati Soekarnoputri;Prabowo Subianto
Claim by Kanal-kanal YouTube dan akun-akun Facebook:;Wapres Ma'ruf Amin mundur dan digantikan oleh Prabowo;Keliru;https://cekfakta.tempo.co/fakta/943/fakta-atau-hoaks-benarkah-wapres-maruf-amin-mundur-dan-diganti-oleh-prabowo;Aug 12, 2020;Ma'ruf Amin;Prabowo Subianto
Claim by Video yang beredar di Facebook.:;Aktivis hak asasi manusia Munir Said Thalib dibunuh satu bulan setelah bersaksi bahwa Prabowo tidak bersalah.;Keliru;https://cekfakta.tempo.co/fakta/280/fakta-atau-hoaks-benarkah-munir-dibunuh-satu-bulan-setelah-bersaksi-prabowo-tak-bersalah;May 13, 2019;Munir Said Thalib;Prabowo Subianto
Claim by Beredar di YouTube dan Facebook:;Presiden Jokowi ancam copot Prabowo Subianto sebagai Menteri Pertahanan karena kalah pamor;Sesat;https://cekfakta.tempo.co/fakta/499/fakta-atau-hoaks-benarkah-presiden-jokowi-ancam-copot-prabowo-karena-kalah-pamor;Dec 2, 2019;Prabowo Subianto;Joko Widodo
Claim by Kakek Detektif:;Benarkah Foto Prabowo Subianto Berpakaian Pendeta?;Keliru;https://cekfakta.tempo.co/fakta/87/fakta-atau-hoax-benarkah-foto-prabowo-subianto-berpakaian-pendeta;Dec 17, 2018;Prabowo Subianto;Cek Fakta Tempo - TEMPO.co
Claim by Beberapa sumber:;Mantan Presiden Amerika Serikat Barack Obama membuka tirai foto Prabowo Subianto;Salah;https://periksafakta.afp.com/video-tersebut-adalah-editan-dari-klip-asli-obama-meluncurkan-lukisan-dirinya;Jul 22, 2019;Barack Obama;Periksa Fakta
Claim by Akun Facebook Karim Limoto:;Barack Obama menyampaikan selamat atas kemenangan Prabowo Subianto;Keliru;https://cekfakta.tempo.co/fakta/333/fakta-atau-hoaks-benarkah-barack-obama-telah-menyatakan-kemenangan-prabowo-sandi;Jul 11, 2019;Barack Obama;Prabowo Subianto
Claim by Akun Facebook Nanda Jepang:;Prabowo Subianto-Sandiaga Uno telah menang di Mahkamah Konstitusi;Sesat;https://cekfakta.tempo.co/fakta/300/fakta-atau-hoaks-benarkah-prabowo-sandiaga-telah-menang-di-mahkamah-konstitusi;May 28, 2019;Mahkamah Konstitusi Republik Indonesia;Sandiaga Salahuddin Uno
Claim by Berbagai sumber:;Karyawan Krakatau Steel dipecat semua dan diganti dengan orang-orang Cina oleh Joko Widodo;Keliru;https://cekfakta.tempo.co/fakta/344/fakta-atau-hoaks-benarkah-foto-yang-diklaim-prabowo-berhasil-bebaskan-200-relawan-dari-penjara;Jul 22, 2019;Cek Fakta Tempo - TEMPO.co;Karyawan
Claim by Prabowo Subianto dalam Debat Capres-Cawapres Kelima:;Lebih banyak uang milik warga negara Indonesia di luar daripada di dalam negeri;Sebagian Benar;https://cekfakta.tempo.co/fakta/220/fakta-atau-hoaks-benarkah-kekayaan-indonesia-banyak-yang-lari-ke-luar-negeri-seperti-yang-diungkap-prabowo-subianto;Apr 14, 2019;Indonesia;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di Facebook:;Menteri Pertahanan Prabowo Subianto menyebut bahwa FPI bukan ancaman bagi kedaulatan NKRI;Keliru;https://cekfakta.tempo.co/fakta/521/fakta-atau-hoaks-benarkah-menhan-prabowo-sebut-fpi-bukan-ancaman-bagi-kedaulatan-nkri;Dec 16, 2019;Prabowo Subianto;Front Pembela Islam
